Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Scope,Variant,Sample Size,Participation Rate,Participation,Precision,ANO,ODS,Piráti,SPD,Stačilo!,KSČM,SOCDEM,KDU-ČSL,TOP 09,STAN,Svobodní,Zelení,Úsvit,Trikolóra,STAN-TOP,ČSL-STAN,SPOLU,Pir-STAN,TSS,Přísaha,AUTO,Přísaha+AUTO,VB,PRO,DSSS,SPOZ,VV,US-DEU,Koalice,DEU,SPR-RSC,NEZ,SNK-ED,SŽJ,ODA,LB,HSMS-MNS,ODS+KDS,LB+KSČM,LSU,ZS,ČSS,OH,KDS,Other,Source
CVVM,2015-03-02,2015-03-09,FALSE,National,,1001,0.6,566,0.5,0.33,0.065,0.02,,,0.11,0.26,0.085,0.08,,,0.02,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1875/f9/pv150319.pdf
Median,2015-02-07,2015-03-07,FALSE,National,,1090,0.58,,0.5,0.245,0.08,0.025,,,0.15,0.2,0.06,0.12,,0.025,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/docs/preference_2015_02.pdf
Kantar,2015-02-16,2015-02-22,FALSE,National,,1200,0.66,834,0.5,0.29,0.075,0.035,,,0.105,0.225,0.06,0.105,,0.015,0.02,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/domaci/1506484-socialni-demokrate-nadale-stahuji-naskok-vedouciho-hnuti-ano
CVVM,2015-02-02,2015-02-09,FALSE,National,,1029,0.61,596,0.5,0.31,0.05,0.03,,,0.115,0.28,0.06,0.075,,,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1857/f9/pv150219.pdf
Median,2015-01-06,2015-02-06,FALSE,National,,1046,0.565,,0.5,0.23,0.085,0.03,,,0.12,0.215,0.065,0.115,,0.02,0.035,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/docs/preference_2015_01.pdf
Kantar,2015-01-19,2015-01-25,FALSE,National,,1200,0.64,829,0.5,0.305,0.09,0.025,,,0.095,0.19,0.065,0.1,,0.02,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/domaci/1498814-mirny-pokles-pro-ano-stale-ale-zustava-nad-30
CVVM,2015-01-12,2015-01-19,FALSE,National,,981,0.56,500,0.5,0.3,0.065,0.025,,,0.135,0.275,0.075,0.065,,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1843/f9/pv150129.pdf
STEM,2015-01-06,2015-01-16,FALSE,National,,1081,0.58,,0.1,0.307,0.056,0.031,,,0.133,0.217,0.07,0.077,,0.018,0.017,0.044,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,0.013,https://www.stem.cz/wp-content/uploads/2015/12/3017_1799.pdf
CVVM,2014-12-01,2014-12-08,FALSE,National,,958,0.57,522,0.5,0.295,0.085,0.025,,,0.12,0.245,0.07,0.095,,,0.02,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1831/f9/pv141218.pdf
STEM,2014-11-29,2014-12-08,FALSE,National,,1045,0.55,,0.1,0.328,0.07,0.045,,,0.14,0.181,0.057,0.083,,0.016,0.03,0.032,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,0.013,https://www.stem.cz/wp-content/uploads/2015/12/3015_1798.pdf
Median,2014-11-01,2014-12-01,FALSE,National,,1002,0.56,,0.5,0.235,0.09,0.035,,,0.14,0.21,0.075,0.105,,0.025,0.025,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_11.pdf
Kantar,2014-11-22,2014-11-28,FALSE,National,,1200,0.62,816,0.5,0.335,0.07,0.04,,,0.095,0.17,0.06,0.1,,0.025,0.035,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,http://web.archive.org/web/20150427175340/http://img.ct24.cz/multimedia/documents/62/6130/612927.pdf
CVVM,2014-11-03,2014-11-10,FALSE,National,,1043,0.57,590,0.5,0.3,0.065,0.03,,,0.13,0.25,0.075,0.075,,0.01,0.035,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1810/f9/pv141120.pdf
STEM,2014-10-31,2014-11-09,FALSE,National,,1071,0.57,,0.1,0.32,0.071,0.041,,,0.138,0.2,0.06,0.069,,0.021,0.03,0.026,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,0.022,https://www.stem.cz/wp-content/uploads/2015/12/3007_1793.pdf
Median,2014-10-01,2014-11-01,FALSE,National,,1070,0.555,,0.5,0.245,0.08,0.03,,,0.15,0.21,0.065,0.105,,0.02,0.02,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_10.pdf
Kantar,2014-10-25,2014-10-31,FALSE,National,,1200,0.64,829,0.5,0.35,0.06,0.035,,,0.08,0.18,0.075,0.095,,0.01,0.025,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,http://web.archive.org/web/20150202235648/http://img.ct24.cz/multimedia/documents/61/6064/606385.pdf
STEM,2014-10-13,2014-10-20,FALSE,National,,1049,0.59,,0.1,0.31,0.064,0.034,,,0.134,0.222,0.063,0.086,,0.013,0.015,0.024,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,0.029,https://www.stem.cz/wp-content/uploads/2015/12/2985_1781.pdf
CVVM,2014-10-01,2014-10-08,FALSE,National,,1004,0.62,588,0.5,0.31,0.055,0.02,,,0.13,0.245,0.075,0.1,,0.015,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1794/f9/pv141022b.pdf
Kantar,2014-09-22,2014-09-28,FALSE,National,,1200,0.64,816,0.5,0.305,0.09,0.02,,,0.1,0.19,0.055,0.095,,0.02,0.035,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://web.archive.org/web/20150328033903/http://img.ct24.cz/multimedia/documents/60/5982/598199.pdf
CVVM,2014-09-08,2014-09-15,FALSE,National,,981,0.58,502,0.5,0.28,0.075,0.015,,,0.14,0.275,0.065,0.095,,,0.01,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1786/f9/pv140924.pdf
STEM,2014-09-03,2014-09-10,FALSE,National,,1024,0.59,,0.1,0.303,0.063,0.031,,,0.135,0.213,0.054,0.076,,0.021,0.02,0.039,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,0.007,https://www.stem.cz/wp-content/uploads/2015/12/2970_1773.pdf
Median,2014-08-06,2014-09-06,FALSE,National,,1051,0.575,,0.5,0.22,0.075,0.025,,,0.15,0.215,0.075,0.12,,0.02,0.025,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_08.pdf
Kantar,2014-08-25,2014-08-31,FALSE,National,,1200,0.63,,0.5,0.255,0.065,0.035,,,0.135,0.17,0.055,0.115,,0.03,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ct24.ceskatelevize.cz/domaci/1018949-ano-ztraci-podporu-volicu-presto-stale-volby-suverenne-vyhralo
Median,2014-07-01,2014-07-31,FALSE,National,,1177,0.585,,0.5,0.225,0.08,0.035,,,0.14,0.2,0.07,0.125,,0.03,0.025,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_07.pdf
Kantar,2014-06-28,2014-07-04,FALSE,National,,1200,0.59,799,0.5,0.31,0.07,0.045,,,0.115,0.16,0.055,0.11,,0.03,0.025,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/domaci/1026001-ct-volby-s-naskokem-vyhralo-ano-pirati-klepou-na-dvere
Median,2014-06-03,2014-06-30,FALSE,National,,1017,0.55,,0.5,0.25,0.065,0.035,,,0.14,0.215,0.045,0.135,,0.035,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_06.pdf
STEM,2014-05-31,2014-06-10,FALSE,National,,1099,0.56,,0.1,0.271,0.066,0.041,,,0.134,0.191,0.063,0.096,,0.028,0.026,0.048,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,0.031,https://www.stem.cz/wp-content/uploads/2015/12/2966_1771.pdf
CVVM,2014-06-02,2014-06-09,FALSE,National,,1011,0.6,576,0.5,0.29,0.07,0.015,,,0.155,0.24,0.055,0.115,,0.01,0.015,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1772/f9/pv140619.pdf
Median,2014-05-08,2014-06-02,FALSE,National,,926,0.54,,0.5,0.22,0.07,0.035,,,0.15,0.185,0.06,0.125,,0.03,0.035,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_05.pdf
STEM,2014-05-20,2014-05-27,FALSE,National,,1093,0.56,,0.1,0.275,0.06,0.033,,,0.135,0.18,0.069,0.098,,0.024,0.039,0.061,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,0.022,https://www.stem.cz/wp-content/uploads/2015/12/2955_1766.pdf
EU ELECTION,2014-05-23,2014-05-24,FALSE,European,,8395132,0.182,1515492,0.01,0.1613,0.0767,0.0478,,,0.1098,0.1417,0.0995,,,0.0524,0.0377,0.0312,,0.1595,,,,,,,,0.0013,,0.0052,,0.0046,,,,,,,,,,,,,,,,,,,
Kantar,2014-05-17,2014-05-23,FALSE,National,,,0.62,,0.5,0.295,0.075,,,,0.095,0.185,0.06,0.095,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ct24.ceskatelevize.cz/clanek/domaci/ano-ztraci-podporu-volicu-presto-by-stale-volby-suverenne-vyhralo-337015
CVVM,2014-05-05,2014-05-12,FALSE,National,,994,0.61,562,0.5,0.33,0.05,0.025,,,0.125,0.235,0.08,0.09,,0.01,0.015,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1753/f9/pv140526.pdf
Median,2014-04-08,2014-05-08,FALSE,National,,1056,0.595,,0.5,0.23,0.07,0.03,,,0.15,0.21,0.065,0.1,,0.03,0.035,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_04.pdf
Kantar,2014-04-22,2014-04-27,FALSE,National,,,0.66,,0.5,0.285,0.065,,,,0.115,0.185,0.07,0.095,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ct24.ceskatelevize.cz/clanek/domaci/ano-ztraci-podporu-volicu-presto-by-stale-volby-suverenne-vyhralo-337015
STEM,2014-04-14,2014-04-21,FALSE,National,,1098,0.62,,0.1,0.279,0.058,0.025,,,0.133,0.207,0.065,0.1,,0.022,0.023,0.052,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,0.025,https://www.stem.cz/wp-content/uploads/2015/12/2949_1763.pdf
CVVM,2014-04-07,2014-04-14,FALSE,National,,985,0.62,574,0.5,0.3,0.06,0.01,,,0.135,0.25,0.065,0.105,,0.01,0.025,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1739/f9/pv140423.pdf
Median,2014-03-01,2014-03-31,FALSE,National,,1037,0.575,,0.5,0.195,0.085,0.035,,,0.15,0.21,0.075,0.115,,0.025,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/docs/preference_2014_03.pdf
Kantar,2014-03-24,2014-03-30,FALSE,National,,,0.67,,0.5,0.27,0.065,0.025,,,0.12,0.195,0.045,0.1,,,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,https://ct24.ceskatelevize.cz/clanek/domaci/neduverivi-cesi-nejvice-veri-hnuti-ano-329180
STEM,2014-03-11,2014-03-20,FALSE,National,,1070,0.6,,0.1,0.289,0.073,0.025,,,0.133,0.205,0.064,0.09,,0.013,0.026,0.05,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.021,https://www.stem.cz/wp-content/uploads/2015/12/2918_1748.pdf
CVVM,2014-03-03,2014-03-10,FALSE,National,,1027,0.61,584,0.5,0.28,0.06,0.015,,,0.14,0.24,0.06,0.11,,,0.035,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1722/f9/pv140319.pdf
Kantar,2014-02-18,2014-02-24,FALSE,National,,,0.65,,0.5,0.225,0.075,0.02,,,0.135,0.205,0.07,0.095,,0.015,0.05,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ct24.ceskatelevize.cz/clanek/domaci/ano-ztraci-podporu-volicu-presto-by-stale-volby-suverenne-vyhralo-337015
STEM,2014-02-05,2014-02-12,FALSE,National,,1102,0.58,,0.1,0.214,0.075,0.023,,,0.168,0.214,0.078,0.092,,0.009,0.028,0.067,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,0.023,https://www.stem.cz/wp-content/uploads/2015/12/2885_1733.pdf
CVVM,2014-02-03,2014-02-10,FALSE,National,,1037,0.66,680,0.5,0.25,0.075,0.02,,,0.15,0.28,0.055,0.11,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1705/f9/pv140219.pdf
CVVM,2014-01-13,2014-01-20,FALSE,National,,1059,0.62,625,0.5,0.25,0.05,0.015,,,0.145,0.27,0.065,0.12,,,0.015,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1694/f9/pv140130.pdf
STEM,2014-01-11,2014-01-18,FALSE,National,,1023,0.6,,0.1,0.243,0.062,0.019,,,0.163,0.206,0.066,0.11,,0.008,0.033,0.057,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,0.024,https://www.stem.cz/wp-content/uploads/2015/12/2873_1727.pdf
CVVM,2013-12-02,2013-12-09,FALSE,National,,943,0.6,566,0.5,0.255,0.065,0.02,,,0.135,0.275,0.065,0.115,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
STEM,2013-12-02,2013-12-09,FALSE,National,,1078,0.55,,0.1,0.224,0.069,0.022,,,0.17,0.199,0.067,0.109,,0.015,0.031,0.076,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,0.008,https://www.stem.cz/wp-content/uploads/2015/12/2867_1724.pdf
CVVM,2013-11-11,2013-11-18,FALSE,National,,941,0.63,570,0.5,0.245,0.04,0.025,,,0.18,0.24,0.07,0.09,,0.01,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1353/f9/pv131127.pdf
STEM,2013-10-29,2013-11-05,FALSE,National,,1063,,,0.1,0.227,0.082,,,,0.159,0.189,0.08,0.119,,,0.029,0.057,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/wp-content/uploads/2015/12/2867_1724.pdf
ELECTION,2013-10-25,2013-10-26,FALSE,National,,8424227,0.5948,4969984,0.01,0.1865,0.0772,0.0266,,,0.1491,0.2045,0.0678,0.1199,,0.0246,0.0319,0.0688,,,,,,,,,,,,0.0086,0.0151,,,,,,,,,,,,,,,,,,,,
Kantar,2013-10-21,2013-10-24,FALSE,National,,1000,0.79,714,0.5,0.175,0.065,0.03,,,0.12,0.215,0.055,0.105,,0.02,0.045,0.065,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,0.08,http://img.ct24.cz/multimedia/documents/52/5172/517145.pdf
Kantar,2013-10-07,2013-10-16,FALSE,National,,1200,0.78,868,0.5,0.16,0.07,0.025,,,0.14,0.23,0.06,0.105,,,0.03,0.06,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.08,http://img.ct24.cz/multimedia/documents/52/5143/514269.pdf
Median,2013-09-16,2013-10-16,FALSE,National,,1083,0.6,,0.5,0.13,0.08,0.02,,,0.16,0.255,0.06,0.13,,0.025,0.03,0.04,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/docs/preference_2013_09.pdf
STEM,2013-10-08,2013-10-15,FALSE,National,,1052,0.67,,0.1,0.161,0.086,0.031,,,0.133,0.259,0.045,0.115,,0.031,0.026,0.059,,,,,,,,,,,,0.007,0.026,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/wp-content/uploads/2015/12/2855_1718.pdf
Médea Research,2013-10-08,2013-10-14,FALSE,National,,1022,0.714,,0.1,0.169,0.055,0.031,,,0.118,0.222,0.062,0.096,,,0.029,0.082,,,,,,,,,,,,0.023,0.037,,,,,,,,,,,,,,,,,,,,https://www.tyden.cz/priloha/201310/525e39a20e986/medea-research-volebni-prognoza---rijen-2013-525e78fc85c2b.pdf
CVVM,2013-10-07,2013-10-14,FALSE,National,,999,0.63,545,0.5,0.165,0.065,0.025,,,0.18,0.26,0.05,0.09,,,0.02,0.05,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,0.06,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1406/f9/pv131021.pdf
PPM Factum,2013-09-30,2013-10-10,FALSE,National,,972,0.54,,0.1,0.121,0.072,,,,0.171,0.228,0.059,0.132,,,0.043,0.037,,,,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,https://web.archive.org/web/20150217064641/http://www.factum.cz/538_dosavadni-trend-pokracuje
Kantar,2013-09-30,2013-10-09,FALSE,National,,1200,0.77,865,0.5,0.125,0.065,0.02,,,0.125,0.285,0.06,0.11,,,0.035,0.05,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,0.08,http://img.ct24.cz/multimedia/documents/52/5122/512176.pdf
Kantar,2013-09-23,2013-10-02,FALSE,National,,1210,0.73,867,0.5,0.13,0.085,,,,0.11,0.29,0.065,0.095,,,0.035,0.045,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.095,http://img.ct24.cz/multimedia/documents/52/5103/510265.pdf
Kantar,2013-09-18,2013-09-24,FALSE,National,,1051,0.71,721,0.5,0.11,0.09,,,,0.145,0.29,0.055,0.105,,,0.035,0.05,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.08,https://imgct24.ceskatelevize.cz/multimedia/documents/51/5072/507188.pdf
STEM,2013-09-15,2013-09-21,FALSE,National,,1043,0.65,,0.5,0.1,0.125,,,,0.17,0.28,0.055,0.11,,,0.035,0.025,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/wp-content/uploads/2015/12/2803_1694.pdf
CVVM,2013-09-09,2013-09-16,FALSE,National,,990,0.62,532,0.5,0.14,0.07,,,,0.195,0.305,0.045,0.125,,,0.02,0.025,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1399/f9/pv130924.pdf
PPM Factum,2013-09-05,2013-09-15,FALSE,National,,967,0.527,,0.1,0.109,0.08,,,,0.167,0.262,0.067,0.138,,,0.023,0.025,,,,,,,,,,0.017,,,0.051,,,,,,,,,,,,,,,,,,,0.061,https://web.archive.org/web/20150217062149/http://www.factum.cz/537_v-cr-sili-podpora-mimoparlamentnich-stran-a-levice
Médea Research,2013-09-03,2013-09-09,FALSE,National,,1014,0.7,,0.1,0.131,0.099,,,,0.157,0.274,0.047,0.102,,,0.032,0.091,,,,,,,,,,,,,0.041,,,,,,,,,,,,,,,,,,,,https://www.tyden.cz/rubriky/domaci/politika/pruzkum-babis-leti-vzhuru-velke-strany-maji-problem_282226.html
STEM,2013-09-29,2013-09-08,FALSE,National,,1093,0.59,,0.5,0.075,0.11,,,,0.15,0.3,0.055,0.12,,,0.025,0.025,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/wp-content/uploads/2015/12/2770_1678.pdf
Kantar,2013-09-02,2013-09-05,FALSE,National,,1205,0.71,783,0.5,0.07,0.095,,,,0.155,0.28,0.045,0.13,,,0.05,0.055,,,,,,,,,,,,0.02,0.055,,,,,,,,,,,,,,,,,,,0.045,https://imgct24.ceskatelevize.cz/multimedia/documents/51/5022/502195.pdf
Median,2013-07-15,2013-08-15,FALSE,National,,1161,0.635,,0.5,,0.135,,,,0.155,0.32,0.04,0.15,,,0.025,,,,,,,,,,,,,,0.05,0.035,,,,,,,,,,,,,,,,,,0.09,https://www.median.eu/cs/wp-content/uploads/docs/preference_2013_07.pdf
Median,2013-06-14,2013-07-14,FALSE,National,,1377,0.62,,0.5,,0.13,,,,0.185,0.34,0.055,0.15,,,0.02,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,0.06,https://www.median.eu/cs/wp-content/uploads/docs/preference_2013_06.pdf
PPM Factum,2013-06-14,2013-06-20,FALSE,National,,945,0.505,,0.1,0.021,0.08,,,,0.161,0.293,0.075,0.15,,,0.035,,,,,,,,,,,0.011,,0.028,0.066,0.01,,,,,,,,,,,,,,,,,,,https://web.archive.org/web/20150217063800/http://www.factum.cz/534_podpora-ods-na-historickem-minimu
Median,2013-05-17,2013-06-13,FALSE,National,,941,0.615,,0.5,,0.16,,,,0.165,0.325,0.04,0.17,,,0.025,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,0.055,https://www.median.eu/cs/wp-content/uploads/docs/preference_2013_05.pdf
CVVM,2013-06-03,2013-06-10,FALSE,National,,983,0.61,529,0.5,,0.13,,,,0.185,0.35,0.055,0.17,,,0.035,,,,,,,,,,,,,,0.035,0.005,,,,,,,,,,,,,,,,,,0.04,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1376/f9/pv130621.pdf
STEM,2013-06-01,2013-06-10,FALSE,National,,1110,0.56,862,0.1,0.006,0.153,,,,0.14,0.317,0.048,0.157,,,0.045,,,,,,,,,,,0.006,,,0.051,0.023,,,,,,,,,,,,,,,,,,0.054,https://www.stem.cz/wp-content/uploads/2015/12/2768_1677.pdf
PPM Factum,2013-05-16,2013-05-28,FALSE,National,,918,0.508,,0.1,,0.145,0.025,,,0.131,0.249,0.077,0.162,,0.02,0.033,,,,,,,,,,,0.017,,,0.072,,,,,,,,,,,,,,,,,,,,https://web.archive.org/web/20150217064416/http://www.factum.cz/532_bude-jedinym-resenim-duhova-koalice
STEM,2013-05-15,2013-05-21,FALSE,National,,1040,0.51,818,0.1,0.005,0.145,,,,0.135,0.339,0.056,0.146,,,0.044,,,,,,,,,,,0.013,,,0.041,0.014,,,,,,,,,,,,,,,,,,0.062,https://www.stem.cz/wp-content/uploads/2015/12/2760_1673.pdf
Median,2013-04-17,2013-05-16,FALSE,National,,928,0.61,,0.5,,0.185,,,,0.155,0.32,0.05,0.15,,,0.025,,,,,,,,,,,,,,0.04,0.02,,,,,,,,,,,,,,,,,,0.055,https://www.median.eu/cs/wp-content/uploads/docs/preference_2013_04.pdf
CVVM,2013-05-06,2013-05-13,FALSE,National,,1016,0.6,538,0.5,,0.145,,,,0.17,0.37,0.05,0.145,,,0.03,,,,,,,,,,,,,,0.04,0.005,,,,,,,,,,,,,,,,,,0.05,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1430/f9/pv130522.pdf
PPM Factum,2013-04-18,2013-04-29,FALSE,National,,957,0.507,,0.1,,0.148,0.025,,,0.136,0.262,0.071,0.153,,0.022,0.032,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,,https://web.archive.org/web/20150217064207/http://www.factum.cz/531_levy-stred-posiluje
Median,2013-03-17,2013-04-17,FALSE,National,,1297,0.59,,0.5,,0.18,,,,0.155,0.32,0.04,0.16,,,0.03,,,,,,,,,,,,,,0.055,0.015,,,,,,,,,,,,,,,,,,0.045,https://www.median.eu/cs/wp-content/uploads/docs/MEDIAN_Snemovni_volebni_model_BREZEN-DUBEN_2013.pdf
CVVM,2013-04-08,2013-04-15,FALSE,National,,1015,0.59,543,0.5,,0.12,,,,0.165,0.4,0.035,0.17,,,0.02,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.04,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1412/f9/pv130424.pdf
STEM,2013-04-02,2013-04-09,FALSE,National,,1009,0.53,735,0.1,0.007,0.122,0.005,,,0.141,0.38,0.056,0.157,,,0.033,,,,,,,,,,,0.008,,,0.059,0.007,,,,,,,,,,,,,,,,,,0.023,https://www.stem.cz/wp-content/uploads/2015/12/2716_1650.pdf
PPM Factum,2013-03-21,2013-03-31,FALSE,National,,974,0.504,,0.1,,0.137,,,,0.143,0.266,0.07,0.152,,0.02,0.027,,,,,,,,,,,0.01,,,0.071,0.016,,,,,,,,,,,,,,,,,,,https://web.archive.org/web/20150217063430/http://www.factum.cz/528_cssd-by-si-mohla-vybirat
Median,2013-02-17,2013-03-16,FALSE,National,,1184,0.625,,0.5,,0.155,,,,0.15,0.305,0.05,0.175,,,0.035,,,,,,,,,,,,,,0.055,0.01,,,,,,,,,,,,,,,,,,0.065,https://www.median.eu/cs/wp-content/uploads/docs/preference_2013_02.pdf
CVVM,2013-03-04,2013-03-11,FALSE,National,,1016,0.59,545,0.5,,0.135,,,,0.155,0.4,0.04,0.16,,,0.015,,,,,,,,,,,,,,0.055,0.015,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1442/f9/pv130320.pdf
STEM,2013-02-28,2013-03-08,FALSE,National,,1091,0.55,866,0.1,0.011,0.108,0.008,,,0.147,0.322,0.055,0.18,,,0.033,,,,,,,,,,,0.013,,,0.055,0.014,,,,,,,,,,,,,,,,,,0.053,https://www.stem.cz/wp-content/uploads/2015/12/2704_1644.pdf
PPM Factum,2013-02-21,2013-03-04,FALSE,National,,958,0.5,,0.1,,0.133,0.02,,,0.136,0.259,0.078,0.165,,,0.029,,,,,,,,,,,0.015,,,0.075,0.015,,,,,,,,,,,,,,,,,,,https://web.archive.org/web/20150217065106/http://www.factum.cz/527_ods-uz-ztratila-tretinu-sve-nekdejsi-podpory
Median,2013-01-17,2013-02-17,FALSE,National,,941,0.64,,0.5,,0.16,,,,0.14,0.33,0.06,0.17,,,0.025,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,0.075,https://www.median.eu/cs/wp-content/uploads/docs/MEDIAN_Snemovni_volebni_model_LEDEN-UNOR_2013.pdf
